Name	WikipediaLink	Source
Anselm of Bec	https://en.wikipedia.org/wiki/Anselm_of_Canterbury	md
Oberth	https://en.wikipedia.org/wiki/Hermann_Oberth	md
Hamilton, Alexander	https://en.wikipedia.org/wiki/Alexander_Hamilton	md
Degas 2	https://en.wikipedia.org/wiki/Edgar_Degas	md
Hamilton Sir Wm 2	https://en.wikipedia.org/wiki/William_Hamilton_(diplomat	md
Michaux	https://en.wikipedia.org/wiki/Pierre_Michaux	md
Physics	https://en.wikipedia.org/wiki/Physicist	md
Siemens, Werner	https://en.wikipedia.org/wiki/Werner_von_Siemens	md
Burgoyne, Gen John	https://en.wikipedia.org/wiki/John_Burgoyne	md
Nasser	https://en.wikipedia.org/wiki/Gamal_Abdel_Nasser	md
Addison, Joseph	https://en.wikipedia.org/wiki/Joseph_Addison	md
Douglas CH (social credit)	https://en.wikipedia.org/wiki/C._H._Douglas	md
cerium	https://en.wikipedia.org/wiki/Cerium	md
Keats 2	https://en.wikipedia.org/wiki/John_Keats	md
Kierkegaard	https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard	md
Pierce F Pres	https://en.wikipedia.org/wiki/Franklin_Pierce	md
Sheridan RB	https://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan	md
Estienne	https://en.wikipedia.org/wiki/Henri_Estienne	md
Kindergarten	https://en.wikipedia.org/wiki/Kindergarten	md
Peel, Robert PM	https://en.wikipedia.org/wiki/Robert_Peel	md
Degas	https://en.wikipedia.org/wiki/Edgar_Degas	md
Crompton mule	https://en.wikipedia.org/wiki/Spinning_mule	md
Marx Bros	https://en.wikipedia.org/wiki/Marx_Brothers	md
Anacreon	https://en.wikipedia.org/wiki/Anacreon	md
Mather, C	https://en.wikipedia.org/wiki/Cotton_Mather	md
Fox G	https://en.wikipedia.org/wiki/George_Fox	md
Schubert	https://en.wikipedia.org/wiki/Franz_Schubert	md
Onnes	https://en.wikipedia.org/wiki/Heike_Kamerlingh_Onnes	md
Mohorovicic	https://en.wikipedia.org/wiki/Andrija_Mohorovi%C4%8Di%C4%87	md
Queen Christina of Sweden 2	https://en.wikipedia.org/wiki/Christina,_Queen_of_Sweden	md
Keller, Helen	https://en.wikipedia.org/wiki/Helen_Keller	md
Steel	https://en.wikipedia.org/wiki/Steel	md
Crystallography	https://en.wikipedia.org/wiki/Crystallography	md
Holocaust	https://en.wikipedia.org/wiki/The_Holocaust	md
Barberini Family	https://en.wikipedia.org/wiki/Barberini_family	md
